,url,title,faves,comments,views,tags,date,datetime,year,month
72,https://www.deviantart.com/bat123spider/art/Sonic-Riders-Un-Gravitify-788100491,Sonic Riders : Un-Gravitify,524,63,1000,"['anime', 'animefanart', 'animemanga', 'animestyle', 'artdigital', 'artistic', 'clouds', 'colorful', 'colors', 'digital', 'digitalart', 'digitalfanart', 'digitalillustration', 'flying', 'landscape', 'scenery', 'skyclouds', 'sonic_the_hedgehog', 'soniccharacters', 'sonicfanart', 'sonicthehedgehog', 'videogamefanart', 'videogames', 'sonicriders', 'animemangafanart', 'artworkdigital']","Mar 4, 2019",2019-03-04,2019,3
73,https://www.deviantart.com/bat123spider/art/Sonic-Shadow-and-Silver-806670418,"Sonic,Shadow and Silver",479,69,2000,"['animedrawing', 'animefanart', 'digitalart', 'fanart', 'fanartdigital', 'fanartdrawing', 'gamefanart', 'segafanart', 'segasonic', 'shadowthehedgehog', 'sonic_the_hedgehog', 'sonicfancharacters', 'sonicthehedgehog', 'videogame', 'videogamefanart', 'segasonicthehedgehog', 'silverthehedgehog', 'animemangafanart', 'silver_the_hedgehog', 'mangaanimefanart', 'segasonicteam']","Jul 22, 2019",2019-07-22,2019,7
74,https://www.deviantart.com/battybuddy/art/Sonic-the-Hedgehog-1928-part-1-29780213,Sonic the Hedgehog 1928 part 1,4000,1000,88000,[],"Mar 2, 2006",2006-03-02,2006,3
75,https://www.deviantart.com/bbpopococo/art/sonic-icon-334160220,sonic icon,445,21,3000,[],"Oct 25, 2012",2012-10-25,2012,10
76,https://www.deviantart.com/bechnokid/art/Sonic-and-Friends-Human-Form-63542124,Sonic and Friends: Human Form,5000,0,357000,[],"Aug 29, 2007",2007-08-29,2007,8
77,https://www.deviantart.com/bh-9246/art/Sonic-baby-born-base-155640885,Sonic baby born base,470,140,21000,[],"Feb 27, 2010",2010-02-27,2010,2
78,https://www.deviantart.com/biko97/art/STH-Chibi-Human-Girls-793365483,-STH Chibi/Human Girls-,1000,211,10000,"['amy', 'bat', 'blaze', 'cat', 'cream', 'form', 'hedgehog', 'human', 'marine', 'rabbit', 'raccoon', 'rose', 'rouge', 'sonic', 'swallow', 'wave']","Apr 11, 2019",2019-04-11,2019,4
79,https://www.deviantart.com/biko97/art/STH-Summer-Doodles-801838187,-STH Summer Doodles-,1000,177,14000,"['amy', 'blaze', 'cat', 'chao', 'cream', 'echidna', 'eggman', 'fox', 'hawk', 'hedgehog', 'ivo', 'jet', 'knuckles', 'miles', 'prower', 'rabbit', 'robotnik', 'rose', 'silver', 'sonic', 'swim', 'tails']","Jun 15, 2019",2019-06-15,2019,6
80,https://www.deviantart.com/bilianna/art/Sonic-and-his-Pikachu-87058364,Sonic and his Pikachu,1000,0,29000,[],"May 29, 2008",2008-05-29,2008,5
81,https://www.deviantart.com/blade-genexis/art/Sonic-Riders-WP-800x600-32426267,Sonic Riders WP ::800x600::,563,71,15000,[],"Apr 26, 2006",2006-04-26,2006,4
82,https://www.deviantart.com/blazetbw/art/Sonic-Style-Ponies-Main-Six-and-Pets-490644246,Sonic Style Ponies - Main Six and Pets,1000,131,21000,"['mlp', 'sonicstyleponies', 'applejack', 'fluttershy', 'rainbowdash', 'rarity', 'sonic', 'spike', 'pinkiepie', 'mlpmylittlepony', 'spikethedragon', 'mlpfriendshipismagic', 'twilightsparkle', 'mlpcrossover']","Oct 25, 2014",2014-10-25,2014,10
83,https://www.deviantart.com/bleedman/art/Sonic-the-Hitchhog-701560370,Sonic the Hitchhog,2000,100,17000,['sonicthehedgehog'],"Aug 29, 2017",2017-08-29,2017,8
84,https://www.deviantart.com/bloomth/art/Sonic-204850155,.:Sonic:.,759,108,9000,[],"Apr 14, 2011",2011-04-14,2011,4
85,https://www.deviantart.com/bloomth/art/Sonic-482823810,Sonic,951,37,7000,[],"Sep 17, 2014",2014-09-17,2014,9
86,https://www.deviantart.com/bloomth/art/Sonic-Movie-830867100,Sonic Movie,834,18,2000,['sonicmovie'],"Feb 18, 2020",2020-02-18,2020,2
87,https://www.deviantart.com/bloomth/art/Sonic-and-Amy-2014-432827283,Sonic and Amy 2014,1000,127,21000,[],"Feb 9, 2014",2014-02-09,2014,2
88,https://www.deviantart.com/blue-paint-sea/art/Sonic-Boom-Character-What-ifs-Cosmo-493930486,Sonic Boom Character What-ifs - Cosmo,1000,187,59000,"['belly', 'chao', 'knucklestheechidna', 'rings', 'shadowthehedgehog', 'sonicthehedgehog', 'alteration', 'alternateuniverse', 'alternateworld', 'amyrose', 'cosmo', 'fighting', 'flickies', 'flytrap', 'midriff', 'mothernature', 'pikopikohammer', 'plants', 'roses', 'rougethebat', 'sonicboom', 'thorns', 'cosmotheseedrian', 'amyrosesonicboom', 'sticksthebadger', 'lyricsonicboom']","Nov 11, 2014",2014-11-11,2014,11
89,https://www.deviantart.com/blue-paint-sea/art/Sonic-Boom-Character-What-ifs-Cream-and-Cheese-440450200,Sonic Boom Character What-ifs - Cream and Cheese,1000,174,57000,[],"Mar 15, 2014",2014-03-15,2014,3
90,https://www.deviantart.com/blue-paint-sea/art/Sonic-Boom-Character-What-ifs-Rouge-updated-437061512,Sonic Boom Character What-ifs - Rouge (updated),2000,411,98000,[],"Feb 27, 2014",2014-02-27,2014,2
91,https://www.deviantart.com/bluekomadori/art/Sonic-CD-402372013,Sonic CD,1000,95,14000,[],"Sep 23, 2013",2013-09-23,2013,9
92,https://www.deviantart.com/bluekomadori/art/Sonic-and-Shaymin-529697214,Sonic and Shaymin,1000,43,8000,"['pokemon', 'sonic', 'shaymin']","Apr 28, 2015",2015-04-28,2015,4
93,https://www.deviantart.com/bluewolfartista/art/Sonic-Movie-Dr-Ivo-Robotnik-Jim-Carrey-795932999,Sonic Movie - Dr. Ivo Robotnik (Jim Carrey),370,43,3000,"['eggman', 'emerald', 'fanart', 'green', 'human', 'movie', 'sega', 'shadows', 'smile', 'sonic', 'wallpaper', 'sega_sonic', 'chaosemerald', 'dreggman', 'dreggmanrobotnik', 'drrobotnik', 'goggles', 'ivorobotnik', 'jimcarrey', 'mustache', 'segasonic', 'simplebackground', 'sonic_the_hedgehog', 'sonicfanart', 'sonicthehedgehog', 'videogamefanart', 'videogames', 'doctoreggman', 'chaos_emerald', 'dr_robotnik', 'doctor_eggman', 'doctor_robotnik', 'patreonsupport', 'patreonartist', 'ivo_robotnik', 'segasonic_the_hedgehog', 'doctororobotnik', 'jimcarrey_robotnik']","May 1, 2019",2019-05-01,2019,5
94,https://www.deviantart.com/bobsmade/art/Sonic-vs-Yoshi-headphones-271673653,Sonic vs Yoshi headphones,1000,87,21000,[],"Nov 30, 2011",2011-11-30,2011,11
95,https://www.deviantart.com/bonus-kun/art/Sonic-s-Eye-Infection-98655916,Sonic's Eye Infection,14000,2000,740000,[],"Sep 22, 2008",2008-09-22,2008,9
96,https://www.deviantart.com/brendancorris/art/Lah-643328864,Lah,612,42,5000,"['brendan', 'ghost', 'lah', 'sega', 'sonic', 'sonicthehedgehog', 'unleashed', 'corris', 'brendancorris', 'brendan_corris', 'sonicunleashed']","Nov 1, 2016",2016-11-01,2016,11
97,https://www.deviantart.com/brendancorris/art/Metal-Sonic-638433856,Metal Sonic,434,37,2000,"['brendan', 'hedgehog', 'metal', 'metalsonic', 'sega', 'sonic', 'corris', 'brendancorris', 'brendan_corris']","Oct 5, 2016",2016-10-05,2016,10
