Date,Subs,Name,Views
2011-09-24,1995,Fine Bros,301780
2011-09-25,1521,Fine Bros,612485
2011-09-26,2973,Fine Bros,677058
2011-09-27,1807,Fine Bros,666627
2011-09-28,1118,Fine Bros,367927
2011-09-29,1259,Fine Bros,415569
2011-09-30,1824,Fine Bros,407036
2011-10-01,2383,Fine Bros,666896
2011-10-02,3760,Fine Bros,781071
2011-10-03,3788,Fine Bros,1345802
2011-10-04,2979,Fine Bros,756668
2011-10-05,3189,Fine Bros,1343498
2011-10-06,1675,Fine Bros,650153
2011-10-07,1827,Fine Bros,581845
2011-10-08,2028,Fine Bros,742086
2011-10-09,2336,Fine Bros,727742
2011-10-10,2597,Fine Bros,739022
2011-10-11,1690,Fine Bros,555560
2011-10-12,1317,Fine Bros,270850
2011-10-13,1103,Fine Bros,343502
2011-10-14,1540,Fine Bros,385441
2011-10-15,1822,Fine Bros,418016
2011-10-16,1643,Fine Bros,706111
2011-10-17,3272,Fine Bros,691756
2011-10-18,1719,Fine Bros,905040
2011-10-19,1398,Fine Bros,368794
2011-10-20,1472,Fine Bros,408160
2011-10-21,1860,Fine Bros,416401
2011-10-22,3262,Fine Bros,570584
2011-10-23,4142,Fine Bros,675855
2011-10-24,3917,Fine Bros,599049
2011-10-25,2326,Fine Bros,951534
2011-10-26,1546,Fine Bros,527204
2011-10-27,1482,Fine Bros,591384
2011-10-28,1928,Fine Bros,518884
2011-10-29,2049,Fine Bros,440059
2011-10-30,2377,Fine Bros,827978
2011-10-31,2920,Fine Bros,925862
2011-11-01,2227,Fine Bros,1134963
2011-11-02,1524,Fine Bros,491660
2011-11-03,1346,Fine Bros,389160
2011-11-04,1603,Fine Bros,408166
2011-11-05,3240,Fine Bros,431462
2011-11-06,3017,Fine Bros,943516
2011-11-07,2998,Fine Bros,1373094
2011-11-08,1454,Fine Bros,938285
2011-11-09,1307,Fine Bros,523753
2011-11-10,1357,Fine Bros,393722
2011-11-11,1536,Fine Bros,415727
2011-11-12,3652,Fine Bros,565357
2011-11-13,5713,Fine Bros,1221056
2011-11-14,4411,Fine Bros,1192368
2011-11-15,2483,Fine Bros,660262
2011-11-16,3065,Fine Bros,511055
2011-11-17,3213,Fine Bros,1088585
2011-11-18,4926,Fine Bros,1482762
2011-11-19,3192,Fine Bros,1126560
2011-11-20,2499,Fine Bros,801465
2011-11-21,2783,Fine Bros,615666
2011-11-22,2075,Fine Bros,795474
2011-11-23,1971,Fine Bros,575381
2011-11-24,2320,Fine Bros,700730
2011-11-25,2409,Fine Bros,557683
2011-11-26,2611,Fine Bros,829605
2011-11-27,2378,Fine Bros,665900
2011-11-28,2778,Fine Bros,944993
2011-11-29,2545,Fine Bros,779813
2011-11-30,1659,Fine Bros,687193
2011-12-01,1159,Fine Bros,822824
2011-12-02,2069,Fine Bros,467784
2011-12-03,2052,Fine Bros,-2046512
2011-12-04,1860,Fine Bros,523248
2011-12-05,1794,Fine Bros,896560
2011-12-06,1461,Fine Bros,0
2011-12-07,1263,Fine Bros,0
2011-12-08,1085,Fine Bros,1181602
2011-12-09,1417,Fine Bros,292554
2011-12-10,1354,Fine Bros,617594
2011-12-11,1281,Fine Bros,447769
2011-12-12,5814,Fine Bros,0
2011-12-13,2417,Fine Bros,697184
2011-12-14,1751,Fine Bros,1185144
2011-12-15,1430,Fine Bros,352551
2011-12-16,1773,Fine Bros,0
2011-12-17,1640,Fine Bros,0
2011-12-18,1694,Fine Bros,0
2011-12-19,1980,Fine Bros,1680988
2011-12-20,1458,Fine Bros,471694
2011-12-21,884,Fine Bros,1191402
2011-12-22,664,Fine Bros,556951
2011-12-23,1169,Fine Bros,0
2011-12-24,958,Fine Bros,776045
2011-12-25,896,Fine Bros,719640
2011-12-26,1135,Fine Bros,346731
2011-12-27,1046,Fine Bros,340760
2011-12-28,1029,Fine Bros,337521
2011-12-29,1486,Fine Bros,335886
2011-12-30,1368,Fine Bros,852823
2011-12-31,1251,Fine Bros,586910
2012-01-01,1745,Fine Bros,498964
2012-01-02,1777,Fine Bros,0
2012-01-03,1298,Fine Bros,0
2012-01-04,1211,Fine Bros,0
2012-01-05,1015,Fine Bros,1652040
