"","X","per","ts_pct","usg_pct","bpm","vorp","age","win_pct","g","pts_per_g","trb_per_g","ast_per_g","stl_per_g","blk_per_g","fg_pct","fg3_pct","ft_pct","ws","ws_per_48"
"104",103,17.4,0.533,25.9,0.8,2.1,24,0.585365853658537,82,22.1,10.4,2.7,1,2,0.502,0,0.676,6.2,0.096
"105",104,21.8,0.604,24.1,2.7,3.1,28,0.634146341463415,78,23.3,7.8,3.1,1,0.4,0.546,0,0.793,10.2,0.185
"106",105,21.6,0.561,29.3,2.4,3.2,31,0.634146341463415,81,27.9,5.7,4.2,1.2,0.6,0.518,0.2,0.829,8.9,0.146
"107",106,21.1,0.564,23.5,3.4,4,22,0.585365853658537,82,20.6,11.9,1.4,1.2,2.7,0.538,0,0.613,10.2,0.168
"108",107,19.8,0.513,24,5.1,5.6,29,0.51219512195122,82,20.1,5.6,8.2,3,0.3,0.469,0.252,0.767,8.7,0.134
"109",108,16.2,0.582,23.3,0,1.1,27,0.707317073170732,70,17.8,2.5,5.2,0.9,0.3,0.492,0.371,0.862,5.5,0.118
"110",109,13.6,0.502,14.1,2.1,2.9,28,0.5,82,9.7,11.3,1.5,0.4,5.6,0.449,0,0.712,5.4,0.093
"111",110,17.6,0.577,19.2,4.4,4.7,26,0.719512195121951,80,16.1,5.4,6.8,1.6,0.7,0.517,0.35,0.758,9.6,0.16
"112",111,20.4,0.564,22.2,4.5,4,29,0.378048780487805,68,18.5,10.6,4.2,1.2,1.3,0.489,0.2,0.852,8.3,0.166
"113",112,20.9,0.514,32.5,1.1,2.4,25,0.414634146341463,81,27.4,6.9,2.5,1.7,0.7,0.451,0.309,0.806,7.6,0.121
"114",113,19.7,0.529,29.4,2.5,2.6,31,0.439024390243902,71,22.5,3,4.5,1.1,0.2,0.459,0.368,0.749,6,0.127
"115",114,18.9,0.533,29.1,0.3,1.8,27,0.268292682926829,78,28,5.1,3,1.5,0.3,0.46,0.313,0.817,6.2,0.097
"116",115,19.7,0.534,23.5,5.2,4.6,22,0.51219512195122,80,17.2,6,5.5,2.2,0.9,0.494,0.216,0.759,7.5,0.141
"117",116,20,0.546,26,3.2,3.3,34,0.707317073170732,78,20,5.3,3,1.7,1.4,0.494,0.214,0.765,7.6,0.144
"118",117,25.6,0.58,27.6,9.1,8.7,29,0.817073170731707,82,25.8,9.8,6.8,2,0.6,0.496,0.423,0.896,15.8,0.244
"119",118,23.3,0.536,32.9,3.6,4.3,26,0.609756097560976,78,30.3,7.9,2.6,1.8,0.6,0.468,0.186,0.818,10.8,0.17
"120",119,24,0.61,21.6,5.9,5.2,26,0.75609756097561,72,18.8,5.9,12.6,1.6,0.2,0.526,0.233,0.871,12.1,0.226
"121",120,24.2,0.56,25.6,5.3,4.6,23,0.621951219512195,68,23.5,11.5,2,2,3.4,0.526,0,0.645,9.5,0.186
"122",121,22.7,0.603,26.6,4.5,4.3,38,0.75609756097561,79,23.4,6.1,3.5,0.8,1.6,0.564,0,0.765,10.8,0.197
"123",122,22.4,0.619,22.4,7.9,7.3,22,0.658536585365854,80,20,12.8,3.9,2.2,1.6,0.572,0.227,0.685,10.8,0.176
"124",123,20,0.604,21.8,5.1,4.6,28,0.695121951219512,73,20.2,4.6,4.9,1.4,0.2,0.489,0.32,0.859,11.7,0.219
"125",124,21.7,0.562,30.5,2.1,3.2,32,0.573170731707317,81,29.8,5,4,0.9,0.4,0.504,0.2,0.862,9.8,0.156
"126",125,21.2,0.554,24.4,4,4.3,24,0.560975609756098,77,20.9,3.6,10.8,2.2,0.3,0.488,0.31,0.79,8.8,0.151
"127",126,20.6,0.553,27.6,-0.8,0.8,30,0.658536585365854,74,23.8,11.8,1.2,0.9,1,0.458,0,0.787,8.9,0.157
"128",127,18.2,0.503,27.2,1.2,2.1,24,0.695121951219512,82,19.8,8.5,2.4,1.5,0.6,0.474,0,0.656,7.4,0.133
"129",128,20.4,0.613,22.6,4.1,3.7,24,0.75609756097561,75,20,5.2,2.7,1.1,1,0.579,0,0.771,9.5,0.185
"130",129,21.6,0.623,22.5,4.6,4,28,0.817073170731707,68,21.3,8.1,2.7,0.4,2,0.574,0,0.776,11,0.22
