year,state,totals,pop_est
2011,Tennessee,451107,6399291
2011,Texas,1155387,25645629
2011,Utah,1020789,2814384
2011,Vermont,27292,627049
2011,Virgin Islands,1356,[]
2011,Virginia,331468,8101155
2011,Washington,394410,6826627
2011,West Virginia,185491,1856301
2011,Wisconsin,322761,5705288
2011,Wyoming,52224,567299
2012,Alabama,431356,4815588
2012,Alaska,85342,730443
2012,Arizona,339663,6554978
2012,Arkansas,246193,2952164
2012,California,1132603,37948800
2012,Colorado,414838,5192647
2012,Connecticut,237496,3594547
2012,Delaware,30724,915179
2012,District of Columbia,449,634924
2012,Florida,834319,19297822
2012,Georgia,465560,9901430
2012,Guam,930,[]
2012,Hawaii,17428,1394804
2012,Idaho,136482,1595324
2012,Illinois,1036061,12882510
2012,Indiana,475607,6537703
2012,Iowa,147700,3076190
2012,Kansas,210972,2885257
2012,Kentucky,2589358,4386346
2012,Louisiana,326290,4600972
2012,Maine,91834,1327729
2012,Mariana Islands,5,[]
2012,Maryland,136604,5886992
2012,Massachusetts,210453,6663005
2012,Michigan,430405,9897145
2012,Minnesota,440992,5376643
2012,Mississippi,222297,2983816
2012,Missouri,513303,6024367
2012,Montana,134455,1003783
2012,Nebraska,85860,1853303
2012,Nevada,146363,2743996
2012,New Hampshire,128178,1324232
2012,New Jersey,85851,8844942
2012,New Mexico,143419,2087309
2012,New York,338619,19572932
2012,North Carolina,489307,9749476
2012,North Dakota,84867,701176
2012,Ohio,629215,11548923
2012,Oklahoma,367976,3818814
2012,Oregon,267041,3899001
2012,Pennsylvania,968534,12767118
2012,Puerto Rico,15545,3634488
2012,Rhode Island,24050,1054621
2012,South Carolina,308408,4717354
2012,South Dakota,88447,833566
2012,Tennessee,524122,6453898
2012,Texas,1436132,26084481
2012,Utah,230999,2853375
2012,Vermont,34507,626090
2012,Virgin Islands,399,[]
2012,Virginia,448754,8185080
2012,Washington,519209,6897058
2012,West Virginia,225580,1856872
2012,Wisconsin,469375,5719960
2012,Wyoming,63356,576305
2013,Alabama,563880,4830081
2013,Alaska,93405,737068
2013,Arizona,363036,6632764
2013,Arkansas,279736,2959400
2013,California,1368295,38260787
2013,Colorado,514658,5269035
2013,Connecticut,294338,3594841
2013,Delaware,40062,923576
2013,District of Columbia,497,650581
2013,Florida,1073859,19545621
2013,Georgia,527885,9972479
2013,Guam,1331,[]
2013,Hawaii,17416,1408243
2013,Idaho,147494,1611206
2013,Illinois,1280613,12895129
2013,Indiana,597124,6568713
2013,Iowa,160062,3092997
2013,Kansas,228105,2893212
2013,Kentucky,1578331,4404659
2013,Louisiana,353025,4624527
2013,Maine,96760,1328009
2013,Mariana Islands,13,[]
2013,Maryland,231182,5923188
2013,Massachusetts,251361,6713315
2013,Michigan,503979,9913065
2013,Minnesota,525774,5413479
2013,Mississippi,231711,2988711
2013,Missouri,567009,6040715
2013,Montana,137830,1013569
2013,Nebraska,91553,1865279
2013,Nevada,146892,2775970
